,BUILDINGID,WattHours,time
99,0002,4663.0,2021-11-07T20:42:01.281550Z
100,0005,49543.5,2021-11-07T20:42:01.281550Z
101,0006,52276.75,2021-11-07T20:42:01.281550Z
102,0007,46365.5,2021-11-07T20:42:01.281550Z
103,0008,41547.5,2021-11-07T20:42:01.281550Z
104,0009,19657.5,2021-11-07T20:42:01.281550Z
105,0010,16950.126,2021-11-07T20:42:01.281550Z
106,0012,8026.75,2021-11-07T20:42:01.281550Z
107,0013,5778.75,2021-11-07T20:42:01.281550Z
108,0014,1891.25,2021-11-07T20:42:01.281550Z
109,0015,247.78325,2021-11-07T20:42:01.281550Z
110,0016,25153.25,2021-11-07T20:42:01.281550Z
111,0017,14.39425,2021-11-07T20:42:01.281550Z
112,0018,812.0,2021-11-07T20:42:01.281550Z
113,0019,52039.75,2021-11-07T20:42:01.281550Z
114,0027,4163.25,2021-11-07T20:42:01.281550Z
115,0029,42629.25,2021-11-07T20:42:01.281550Z
116,0030,24090.25,2021-11-07T20:42:01.281550Z
117,0031,14602.0,2021-11-07T20:42:01.281550Z
118,0032,1177.25,2021-11-07T20:42:01.281550Z
119,0033,7656.25,2021-11-07T20:42:01.281550Z
120,0034,13210.75,2021-11-07T20:42:01.281550Z
121,0035,4505.75,2021-11-07T20:42:01.281550Z
122,0036,4178.0,2021-11-07T20:42:01.281550Z
123,0037,65823.25,2021-11-07T20:42:01.281550Z
124,0038,17877.0,2021-11-07T20:42:01.281550Z
125,0039,19262.87325,2021-11-07T20:42:01.281550Z
126,0040,2296.95025,2021-11-07T20:42:01.281550Z
127,0041,296.4365,2021-11-07T20:42:01.281550Z
128,0042,609.25,2021-11-07T20:42:01.281550Z
129,0047,10103.0,2021-11-07T20:42:01.281550Z
130,0048,3766.75,2021-11-07T20:42:01.281550Z
131,0049,40313.75,2021-11-07T20:42:01.281550Z
132,0051,20666.5,2021-11-07T20:42:01.281550Z
133,0058,13501.0,2021-11-07T20:42:01.281550Z
134,0063,52005.75,2021-11-07T20:42:01.281550Z
135,0064,7185.5,2021-11-07T20:42:01.281550Z
136,0065,16905.0,2021-11-07T20:42:01.281550Z
137,0066,6.81,2021-11-07T20:42:01.281550Z
138,0067,8174.75,2021-11-07T20:42:01.281550Z
139,0068,15931.3515,2021-11-07T20:42:01.281550Z
140,0069,269.844,2021-11-07T20:42:01.281550Z
141,006a,2499.25,2021-11-07T20:42:01.281550Z
142,0071,1658.25,2021-11-07T20:42:01.281550Z
143,0072,1591.25,2021-11-07T20:42:01.281550Z
144,0073,1267.75,2021-11-07T20:42:01.281550Z
145,0074,1155.0,2021-11-07T20:42:01.281550Z
146,0075,1202.5,2021-11-07T20:42:01.281550Z
147,0076,1474.25,2021-11-07T20:42:01.281550Z
148,0077,642.5,2021-11-07T20:42:01.281550Z
149,0080,4333.0,2021-11-07T20:42:01.281550Z
150,0081,6474.0,2021-11-07T20:42:01.281550Z
151,0083,3121.25,2021-11-07T20:42:01.281550Z
152,0084,2066.75,2021-11-07T20:42:01.281550Z
153,0085,1893.25,2021-11-07T20:42:01.281550Z
154,0086,2721.0,2021-11-07T20:42:01.281550Z
155,0087,9378.75,2021-11-07T20:42:01.281550Z
156,0088,958.5,2021-11-07T20:42:01.281550Z
157,0089,1593.25,2021-11-07T20:42:01.281550Z
158,008b,50575.5,2021-11-07T20:42:01.281550Z
159,0090,1650.5,2021-11-07T20:42:01.281550Z
160,0091,3042.25,2021-11-07T20:42:01.281550Z
161,0092,3209.0,2021-11-07T20:42:01.281550Z
162,0093,4752.5,2021-11-07T20:42:01.281550Z
163,0094,3035.5,2021-11-07T20:42:01.281550Z
164,0095,4522.25,2021-11-07T20:42:01.281550Z
165,0096,1275.25,2021-11-07T20:42:01.281550Z
166,0097,4919.75,2021-11-07T20:42:01.281550Z
167,0098,3.5225,2021-11-07T20:42:01.281550Z
168,0099,3124.25,2021-11-07T20:42:01.281550Z
169,009a,73860.5,2021-11-07T20:42:01.281550Z
170,0100,1924.0,2021-11-07T20:42:01.281550Z
171,0101,2324.75,2021-11-07T20:42:01.281550Z
172,0102,1888.5,2021-11-07T20:42:01.281550Z
173,0104,2793.25,2021-11-07T20:42:01.281550Z
174,0105,2835.25,2021-11-07T20:42:01.281550Z
175,0106,4701.5,2021-11-07T20:42:01.281550Z
176,0107,3743.5,2021-11-07T20:42:01.281550Z
177,0111,114301.0,2021-11-07T20:42:01.281550Z
178,0113,31138.0,2021-11-07T20:42:01.281550Z
179,0114,10185.5,2021-11-07T20:42:01.281550Z
180,0115,4126.75,2021-11-07T20:42:01.281550Z
181,0117,24163.25,2021-11-07T20:42:01.281550Z
182,0118,21555.5,2021-11-07T20:42:01.281550Z
183,0121,13618.5,2021-11-07T20:42:01.281550Z
184,0123,2627.5,2021-11-07T20:42:01.281550Z
185,0124,44957.25,2021-11-07T20:42:01.281550Z
186,0128,10406.25,2021-11-07T20:42:01.281550Z
187,0130,1513.5,2021-11-07T20:42:01.281550Z
188,0151,8.8335,2021-11-07T20:42:01.281550Z
189,016a,10958.25,2021-11-07T20:42:01.281550Z
190,0194,1141.0,2021-11-07T20:42:01.281550Z
191,0201,31570.75,2021-11-07T20:42:01.281550Z
192,0202,47103.5,2021-11-07T20:42:01.281550Z
193,026a,4716.203,2021-11-07T20:42:01.281550Z
194,109a,3097.0,2021-11-07T20:42:01.281550Z
195,109b,3822.5,2021-11-07T20:42:01.281550Z
196,109c,4038.0,2021-11-07T20:42:01.281550Z
197,109d,1357.5,2021-11-07T20:42:01.281550Z
198,0002,2777.25,2021-11-07T20:27:01.416088Z
199,0005,48294.75,2021-11-07T20:27:01.416088Z
200,0006,52016.5,2021-11-07T20:27:01.416088Z
201,0007,51465.75,2021-11-07T20:27:01.416088Z
202,0008,42579.75,2021-11-07T20:27:01.416088Z
203,0009,19276.5,2021-11-07T20:27:01.416088Z
204,0010,16191.074499999999,2021-11-07T20:27:01.416088Z
205,0012,8297.75,2021-11-07T20:27:01.416088Z
206,0013,5971.0,2021-11-07T20:27:01.416088Z
207,0014,2013.5,2021-11-07T20:27:01.416088Z
208,0015,207.89125,2021-11-07T20:27:01.416088Z
209,0016,24764.5,2021-11-07T20:27:01.416088Z
210,0017,9.95275,2021-11-07T20:27:01.416088Z
211,0018,677.5,2021-11-07T20:27:01.416088Z
212,0019,52969.0,2021-11-07T20:27:01.416088Z
213,0027,4182.75,2021-11-07T20:27:01.416088Z
214,0029,44071.0,2021-11-07T20:27:01.416088Z
215,0030,23507.75,2021-11-07T20:27:01.416088Z
216,0031,13957.0,2021-11-07T20:27:01.416088Z
217,0032,1321.0,2021-11-07T20:27:01.416088Z
218,0033,7666.25,2021-11-07T20:27:01.416088Z
219,0034,11202.25,2021-11-07T20:27:01.416088Z
220,0035,4804.75,2021-11-07T20:27:01.416088Z
221,0036,4192.5,2021-11-07T20:27:01.416088Z
222,0037,68542.25,2021-11-07T20:27:01.416088Z
223,0038,17430.75,2021-11-07T20:27:01.416088Z
224,0039,19152.6195,2021-11-07T20:27:01.416088Z
225,0040,2118.70025,2021-11-07T20:27:01.416088Z
226,0041,391.77175,2021-11-07T20:27:01.416088Z
227,0042,421.633,2021-11-07T20:27:01.416088Z
228,0047,10015.75,2021-11-07T20:27:01.416088Z
229,0048,1915.75,2021-11-07T20:27:01.416088Z
230,0049,37052.75,2021-11-07T20:27:01.416088Z
231,0051,20875.75,2021-11-07T20:27:01.416088Z
232,0058,13977.5,2021-11-07T20:27:01.416088Z
233,0063,45777.25,2021-11-07T20:27:01.416088Z
234,0064,6593.25,2021-11-07T20:27:01.416088Z
235,0065,17102.5,2021-11-07T20:27:01.416088Z
236,0066,7.017,2021-11-07T20:27:01.416088Z
237,0067,7719.5,2021-11-07T20:27:01.416088Z
238,0068,16511.55725,2021-11-07T20:27:01.416088Z
239,0069,240.863,2021-11-07T20:27:01.416088Z
240,006a,2555.0,2021-11-07T20:27:01.416088Z
241,0071,1115.5,2021-11-07T20:27:01.416088Z
242,0072,606.25,2021-11-07T20:27:01.416088Z
243,0073,1469.25,2021-11-07T20:27:01.416088Z
244,0074,1265.0,2021-11-07T20:27:01.416088Z
245,0075,1476.5,2021-11-07T20:27:01.416088Z
246,0076,1289.25,2021-11-07T20:27:01.416088Z
247,0077,911.75,2021-11-07T20:27:01.416088Z
248,0080,4925.75,2021-11-07T20:27:01.416088Z
249,0081,6045.25,2021-11-07T20:27:01.416088Z
250,0083,3242.5,2021-11-07T20:27:01.416088Z
251,0084,2050.5,2021-11-07T20:27:01.416088Z
252,0085,1744.0,2021-11-07T20:27:01.416088Z
253,0086,3762.5,2021-11-07T20:27:01.416088Z
254,0087,9467.75,2021-11-07T20:27:01.416088Z
255,0088,912.0,2021-11-07T20:27:01.416088Z
256,0089,1560.0,2021-11-07T20:27:01.416088Z
